#cancer	germline_gene	germline_context	somatic_gene	somatic_context	criteria
colorectal	SH2B3	coding	EGFR	coding	known_ppi
colorectal	SH2B3	coding	ERBB2	coding	known_ppi
colorectal	SH2B3	coding	ERBB3	coding	known_ppi
colorectal	SMAD3	noncoding	PARP4	coding	known_ppi
colorectal	SMAD3	noncoding	PIK3R1	coding	known_ppi
colorectal	SMAD3	noncoding	SMAD2	coding	known_ppi;protein_complex
colorectal	SMAD3	noncoding	SMAD3	coding	same_gene
colorectal	SMAD3	noncoding	SMAD4	coding	known_ppi;protein_complex
colorectal	SMAD3	noncoding	TGIF1	coding	known_ppi
colorectal	SMAD9	noncoding	ARID1B	coding	known_ppi
colorectal	SMAD9	noncoding	BAZ1A	coding	known_ppi
colorectal	SMAD9	noncoding	EIF3E	coding	known_ppi
colorectal	SMAD9	noncoding	MGAT1	noncoding	known_ppi
colorectal	SMAD9	noncoding	SMAD2	coding	known_ppi
colorectal	SMAD9	noncoding	SMAD4	coding	known_ppi
colorectal	SMC1B	noncoding	RAD21	coding	protein_complex
colorectal	TBX3	noncoding	TBX3	coding	same_gene
colorectal	TCF7L2	noncoding	CTNNB1	coding	known_ppi
colorectal	TCF7L2	noncoding	TCF7L2	coding	same_gene
colorectal	TERT	noncoding	AKT1	coding	known_ppi
colorectal	TERT	noncoding	CTNNB1	coding	known_ppi
colorectal	TERT	noncoding	SMARCA4	coding	known_ppi
colorectal	TGFBR2	coding	CDH1	coding	known_ppi
colorectal	TGFBR2	coding	ETS2	noncoding	known_ppi
colorectal	TGFBR2	coding	ITGAV	coding	known_ppi
colorectal	TGFBR2	coding	TGFBR2	coding	same_gene
colorectal	TNS3	noncoding	ERBB2	coding	known_ppi
colorectal	TNS3	noncoding	ERBB3	coding	known_ppi
colorectal	VTI1A	noncoding	VTI1A	coding	same_gene
colorectal	ZNRF3	noncoding	ZNRF3	coding	same_gene
lung	APOM	noncoding	KLF6	noncoding	known_ppi
lung	ATM	coding	ATM	coding	same_gene
lung	BAZ1A	noncoding	BAZ1A	coding	same_gene
lung	CHEK2	coding	PER3	coding	known_ppi
lung	COPS2	noncoding	CREBBP	coding	known_ppi
lung	COPS2	noncoding	CUL3	coding	known_ppi
lung	EGFR	coding	EGFR	coding	same_gene
lung	EGFR	coding	ERBB2	coding	known_ppi
lung	EGFR	coding	ESR1	coding	known_ppi
lung	EGFR	coding	JAK2	coding	known_ppi
lung	EGFR	coding	PIK3R1	coding	known_ppi
lung	EGFR	coding	RASA1	coding	known_ppi
lung	FGF7	noncoding	FGFR2	coding	ligand_receptor
lung	FGF7	noncoding	FGFR2	noncoding	ligand_receptor
lung	H4C8	noncoding	CREBBP	coding	known_ppi
lung	HLA-C	noncoding	B2M	coding	known_ppi
lung	HLA-C	noncoding	B2M	noncoding	known_ppi
lung	HLA-C	noncoding	HLA-A	coding	known_ppi
lung	HLA-C	noncoding	RNF213	coding	known_ppi
lung	HLA-DQA1	noncoding	CD74	coding	known_ppi
lung	HLA-DRA	noncoding	CD74	coding	known_ppi
lung	HLA-G	noncoding	B2M	coding	known_ppi
lung	HLA-G	noncoding	B2M	noncoding	known_ppi
lung	HLA-G	noncoding	HLA-A	coding	known_ppi
lung	MORF4L1	noncoding	TRRAP	coding	protein_complex
lung	NR1H4	noncoding	ESR1	coding	known_ppi
lung	NRG1	noncoding	ERBB2	coding	known_ppi;ligand_receptor
lung	NRG1	noncoding	ERBB4	coding	ligand_receptor
lung	NRG1	noncoding	NRG1	coding	same_gene
lung	PDS5B	noncoding	BRCA2	coding	known_ppi
lung	PDS5B	noncoding	RAD21	coding	known_ppi
lung	PPP1R18	coding	TSC1	coding	known_ppi
lung	RB1	coding	RB1	coding	same_gene
lung	SLK	noncoding	KEAP1	coding	known_ppi
lung	TNXB	coding	SDC4	coding	ligand_receptor
lung	VARS2	noncoding	TP53	coding	known_ppi
prostate	ACVR2A	noncoding	ACVR2A	coding	same_gene
prostate	ACVR2A	noncoding	BMP6	coding	ligand_receptor
prostate	ADAMTSL4	noncoding	AKT1	coding	known_ppi
prostate	ADAMTSL4	noncoding	RUNX1T1	coding	known_ppi
prostate	ATM	coding	ATM	coding	same_gene
prostate	BMP7	noncoding	ACVR2A	coding	ligand_receptor
prostate	CASP8	noncoding	CUL3	coding	known_ppi
prostate	CASP8	noncoding	RAF1	coding	known_ppi
prostate	CDKN1B	coding	CDKN1B	coding	same_gene
prostate	CDKN1B	coding	RHOA	coding	known_ppi
prostate	CHEK2	coding	RB1	coding	known_ppi
prostate	DPM1	noncoding	ZBTB16	coding	known_ppi
prostate	ESR2	noncoding	CASZ1	coding	known_ppi
prostate	FERMT2	noncoding	CTNNB1	coding	known_ppi
prostate	FOXP1	noncoding	FOXP1	coding	same_gene
prostate	GDF5	noncoding	ACVR2A	coding	ligand_receptor
prostate	GDF7	noncoding	ACVR2A	coding	ligand_receptor
prostate	GRB10	noncoding	NRAS	coding	known_ppi
prostate	HAUS6	noncoding	GNAS	coding	known_ppi
prostate	HIBADH	noncoding	TFRC	coding	known_ppi
prostate	HLA-C	noncoding	RNF213	coding	known_ppi
prostate	IGF1R	noncoding	CTNNB1	coding	known_ppi
prostate	INHBB	coding	ACVR2A	coding	ligand_receptor
prostate	INHBB	noncoding	ACVR2A	coding	ligand_receptor
prostate	KLK2	noncoding	KLK2	coding	same_gene
prostate	KLK3	noncoding	KLK3	noncoding	same_gene
prostate	KNL1	noncoding	EPS15	coding	known_ppi
prostate	LMNA	noncoding	KLF6	coding	known_ppi
prostate	LMNA	noncoding	RBFOX1	coding	known_ppi
prostate	MAP2K1	noncoding	RAF1	coding	known_ppi
prostate	MAP3K1	noncoding	BRAF	coding	known_ppi
prostate	MDM4	noncoding	RB1	coding	known_ppi
prostate	MYEOV	noncoding	MYEOV	coding	same_gene
prostate	MYO6	noncoding	CYLD	coding	known_ppi
prostate	MYO16	noncoding	PIK3R1	coding	known_ppi
prostate	NEDD8	noncoding	CUL3	coding	known_ppi
prostate	NEDD8	noncoding	CYLD	coding	known_ppi
prostate	NRIP1	noncoding	NRIP1	noncoding	same_gene
prostate	NUF2	noncoding	DDX5	coding	known_ppi
prostate	NUF2	noncoding	EPS15	coding	known_ppi
prostate	OTX1	noncoding	FBLN2	coding	known_ppi
prostate	PPP1R7	noncoding	HRAS	coding	known_ppi
prostate	PPP2R2A	noncoding	LRP1B	coding	known_ppi
prostate	PTEN	coding	PTEN	coding	same_gene
prostate	RASSF3	noncoding	TFRC	coding	known_ppi
prostate	RNF43	noncoding	RNF43	coding	same_gene
prostate	SKIL	noncoding	SMAD4	coding	known_ppi
prostate	SLC22A2	noncoding	ETV5	coding	known_ppi
prostate	SMAD2	noncoding	SMAD4	coding	known_ppi;protein_complex
prostate	SPEN	noncoding	SPEN	coding	same_gene
prostate	SPOP	coding	CUL3	coding	known_ppi
prostate	SPOP	coding	SPOP	coding	same_gene
prostate	STXBP1	noncoding	NCOR1	coding	known_ppi
prostate	TCF7L2	noncoding	CTNNB1	coding	known_ppi
prostate	TERT	noncoding	AKT1	coding	known_ppi
prostate	TERT	noncoding	CTNNB1	coding	known_ppi
prostate	TMPRSS2	coding	TMPRSS2	coding	same_gene
prostate	TMPRSS2	coding	TMPRSS2	noncoding	same_gene
prostate	TMPRSS2	noncoding	TMPRSS2	coding	same_gene
prostate	TMPRSS2	noncoding	TMPRSS2	noncoding	same_gene
prostate	TNFSF10	noncoding	CUL3	coding	known_ppi
prostate	TNS3	noncoding	ERBB3	coding	known_ppi
prostate	TOR1A	noncoding	CTNNB1	coding	known_ppi
prostate	TOR1A	noncoding	PIK3R1	coding	known_ppi
prostate	TOR1A	noncoding	PRDM1	coding	known_ppi
prostate	TP53	noncoding	BRCA2	coding	known_ppi
prostate	TP53	noncoding	TP53	coding	same_gene
prostate	TP53	noncoding	XPO1	coding	known_ppi
prostate	UBE3A	noncoding	IDH1	coding	known_ppi
prostate	VEGFA	noncoding	U2AF1	coding	known_ppi
prostate	WBP11	noncoding	DDX5	coding	known_ppi
prostate	WBP11	noncoding	RUNX1T1	coding	known_ppi
prostate	ZBTB42	coding	ZBTB16	coding	known_ppi
prostate	ZFHX3	noncoding	ZFHX3	coding	same_gene
renal	ATM	coding	ATM	coding	same_gene
renal	BAP1	coding	ASXL2	coding	known_ppi
renal	BAP1	coding	BAP1	coding	same_gene
renal	BAP1	coding	NF1	coding	known_ppi
renal	DPF3	noncoding	ARID1A	coding	protein_complex
renal	DPF3	noncoding	ARID1B	coding	protein_complex
renal	DPF3	noncoding	SMARCA4	coding	protein_complex
renal	FAF1	noncoding	NUP214	coding	known_ppi
renal	MET	coding	MET	coding	same_gene
renal	SCARB1	noncoding	PLCG1	coding	known_ppi
renal	TSC1	coding	TSC1	coding	same_gene
renal	TSC2	coding	TSC2	coding	same_gene
renal	VHL	coding	CDKN2A	coding	known_ppi
renal	VHL	coding	HIF1A	coding	known_ppi
renal	VHL	coding	NF2	coding	known_ppi
renal	VHL	coding	PCBP1	coding	known_ppi
renal	VHL	coding	VHL	coding	same_gene
